Rossz,Szomszedos,Marc. 3--5.,Marc. 10--12.,Marc. 17--19.,Marc. 24--26.,Marc. 31. -- apr. 2.,Tavaszi szunet,apr. 21--23.,apr. 28. -- maj. 1.,Maj. 5--7.,Maj. 12--14.,Maj. 19--21.,Maj. 26--28.,Jun. 3--5.,Jun. 10--12.,Jun. 16--18.,Jun. 23--25.
4,3,,Bebe,,Beluga,Ka,,,Okapi,,,Monguz,Lemur,Medve,,,
4,3,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,Lemur,Monguz,,,
4,3,,Okapi,Bebe,Beluga,Ka,,,Monguz,,,Medve,,Lemur,,,
4,3,,Okapi,,Beluga,Ka,,,Monguz,,,Medve,Bebe,Lemur,,,
4,3,,,,Beluga,Ka,,,Monguz,,,Medve,Bebe,Lemur,,Okapi,
4,3,,,,Beluga,Ka,,,Monguz,,,Medve,,Lemur,Bebe,Okapi,
4,3,,Bebe,,Beluga,Ka,,,,,,Monguz,Medve,Lemur,,Okapi,
4,3,,Bebe,,Beluga,Ka,,,,,,Medve,Monguz,Lemur,,Okapi,
4,3,,Bebe,,Beluga,Monguz,,,Ka,,,Okapi,Medve,Lemur,,,
4,3,,Bebe,,Beluga,Monguz,,,Ka,,,Medve,Okapi,Lemur,,,
4,3,,Bebe,,Beluga,Lemur,,,Monguz,,Ka,Okapi,Medve,,,,
4,3,,Bebe,,Beluga,Lemur,,,Monguz,,Ka,Medve,Okapi,,,,
4,3,,Bebe,,Beluga,Lemur,,,Okapi,,Ka,Monguz,Medve,,,,
4,3,,Bebe,,Beluga,Lemur,,,Okapi,,Ka,Medve,Monguz,,,,
4,3,,Bebe,,Beluga,Monguz,,,Lemur,,Ka,Okapi,Medve,,,,
4,3,,Bebe,,Beluga,Monguz,,,Lemur,,Ka,Medve,Okapi,,,,
4,3,,Okapi,,Beluga,,,,Lemur,,Ka,Monguz,Medve,Bebe,,,
4,3,,Bebe,,Beluga,,,,Lemur,,Ka,Monguz,Okapi,Medve,,,
4,3,,,,Beluga,,,,Lemur,,Ka,Monguz,Medve,Bebe,,Okapi,
4,3,,Okapi,,Beluga,,,,Lemur,,Ka,Medve,Monguz,Bebe,,,
4,3,,Bebe,,Beluga,,,,Lemur,,Ka,Okapi,Monguz,Medve,,,
4,3,,,,Beluga,,,,Lemur,,Ka,Medve,Monguz,Bebe,,Okapi,
4,3,,Bebe,,Beluga,,,,Lemur,,Ka,Okapi,Medve,Monguz,,,
4,3,,Bebe,,Beluga,,,,Lemur,,Ka,Medve,Okapi,Monguz,,,
4,3,,Bebe,,Beluga,Monguz,,,Okapi,,Ka,Medve,Lemur,,,,
4,3,,Okapi,,Beluga,,,,Monguz,,Ka,Medve,Lemur,Bebe,,,
4,3,,Bebe,,Beluga,,,,Monguz,,Ka,Okapi,Lemur,Medve,,,
4,3,,,,Beluga,,,,Monguz,,Ka,Medve,Lemur,Bebe,,Okapi,
4,3,,Bebe,,Beluga,,,,Okapi,,Ka,Monguz,Lemur,Medve,,,
4,3,,Bebe,,Beluga,,,,Okapi,,Ka,Medve,Lemur,Monguz,,,
4,3,,,Bebe,Beluga,Monguz,,,Okapi,,Ka,Medve,,Lemur,,,
4,3,,,,Beluga,Monguz,,,Okapi,,Ka,Medve,,Lemur,Bebe,,
4,3,,Okapi,Bebe,Beluga,,,,Monguz,,Ka,Medve,,Lemur,,,
4,3,,Okapi,,Beluga,,,,Monguz,,Ka,Medve,Bebe,Lemur,,,
4,3,,Bebe,,Beluga,,,,Monguz,Okapi,Ka,Medve,,Lemur,,,
4,3,,,,Beluga,,,,Monguz,,Ka,Medve,Bebe,Lemur,,Okapi,
4,3,,,,Beluga,,,,Monguz,,Ka,Medve,,Lemur,Bebe,Okapi,
4,3,,Bebe,,Beluga,,,,,,Ka,Monguz,Medve,Lemur,,Okapi,
4,3,,Bebe,,Beluga,,,,,,Ka,Medve,Monguz,Lemur,,Okapi,
4,3,,Bebe,,Beluga,Monguz,,,Okapi,,,Medve,Ka,Lemur,,,
4,4,,,Bebe,Beluga,Ka,,,Monguz,,,Okapi,Medve,Lemur,,,
4,4,,,,Beluga,Ka,,,Monguz,,,Okapi,Medve,Lemur,Bebe,,
4,4,,,Bebe,Beluga,Ka,,,Monguz,,,Medve,Okapi,Lemur,,,
4,4,,,,Beluga,Ka,,,Monguz,,,Medve,Okapi,Lemur,Bebe,,
4,4,,,Bebe,Beluga,Ka,,,Okapi,,,Monguz,Medve,Lemur,,,
4,4,,,,Beluga,Ka,,,Okapi,,,Monguz,Medve,Lemur,Bebe,,
4,4,,,Bebe,Beluga,Ka,,,Okapi,,,Medve,Monguz,Lemur,,,
4,4,,,,Beluga,Ka,,,Okapi,,,Medve,Monguz,Lemur,Bebe,,
4,4,,,,Beluga,Lemur,,,Monguz,,Ka,Okapi,Medve,Bebe,,,
4,4,,,,Beluga,Lemur,,,Monguz,,Ka,Medve,Okapi,Bebe,,,
4,4,,,,Beluga,Lemur,,,Okapi,,Ka,Monguz,Medve,Bebe,,,
4,4,,,,Beluga,Lemur,,,Okapi,,Ka,Medve,Monguz,Bebe,,,
4,4,,,,Beluga,Monguz,,,Lemur,,Ka,Okapi,Medve,Bebe,,,
4,4,,,,Beluga,Monguz,,,Lemur,,Ka,Medve,Okapi,Bebe,,,
4,4,,,,Beluga,Monguz,,,Okapi,,Ka,Medve,Lemur,Bebe,,,
4,4,,,,Beluga,Monguz,,,Okapi,,Ka,Medve,Bebe,Lemur,,,
4,4,,Bebe,,Beluga,Monguz,,,,,Ka,Okapi,Medve,Lemur,,,
4,4,,Bebe,,Beluga,Monguz,,,,,Ka,Medve,Okapi,Lemur,,,
4,4,,,Bebe,Beluga,,,,Monguz,,Ka,Okapi,Medve,Lemur,,,
4,4,,,,Beluga,Bebe,,,Monguz,,Ka,Okapi,Medve,Lemur,,,
4,4,,,,Beluga,,,,Monguz,,Ka,Okapi,Medve,Lemur,Bebe,,
4,4,,,Bebe,Beluga,,,,Monguz,,Ka,Medve,Okapi,Lemur,,,
4,4,,,,Beluga,Bebe,,,Monguz,,Ka,Medve,Okapi,Lemur,,,
4,4,,,,Beluga,,,,Monguz,,Ka,Medve,Okapi,Lemur,Bebe,,
4,4,,,Bebe,Beluga,,,,Okapi,,Ka,Monguz,Medve,Lemur,,,
4,4,,,,Beluga,Bebe,,,Okapi,,Ka,Monguz,Medve,Lemur,,,
4,4,,,,Beluga,,,,Okapi,,Ka,Monguz,Medve,Lemur,Bebe,,
4,4,,,Bebe,Beluga,,,,Okapi,,Ka,Medve,Monguz,Lemur,,,
4,4,,,,Beluga,Bebe,,,Okapi,,Ka,Medve,Monguz,Lemur,,,
4,4,,,,Beluga,,,,Okapi,,Ka,Medve,Monguz,Lemur,Bebe,,
5,1,,Lemur,,Beluga,Ka,,,Monguz,,,Medve,,Bebe,,Okapi,
5,1,,Medve,,Beluga,Ka,,,Lemur,,,Monguz,,Bebe,,Okapi,
