Rossz,Szomszedos,Febr. 1--3.,Febr. 8--10.,Febr. 15--17.,Febr. 22--24.,Márc. 1--3.,Márc. 8--10.,Márc. 15--17.,Márc. 22--24.,Márc. 29--31.,Ápr. 7--9.,Ápr. 12--14.,Tavaszi szünet,Ápr. 26--28.,Máj. 3--5.,Máj. 10--12.,Máj. 17--19.,Máj. 24--26.,Máj. 31. -- jún. 2.,Jún. 7--10.,Jún. 14--16.,Jún. 17--20.,Jún. 21--23.
7,2,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,,Bálna,,Franny,Lemur,,,Zooey,,Kb
7,2,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,,Bálna,,Franny,Lemur,,,Zooey,,Kb
7,2,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,,Bálna,,Franny,,,Lemur,Zooey,,Kb
7,2,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,,Bálna,,Franny,,,Lemur,Zooey,,Kb
7,2,,,,,Bárány,,Ka,,,Manátusz,,,,Bálna,,Franny,Mongúz,,Lemur,Zooey,,Kb
7,2,,,,,Bárány,,,Mongúz,,Manátusz,,,,Bálna,,Franny,Ka,,Lemur,Zooey,,Kb
7,2,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,,Bálna,,,Franny,,Lemur,Zooey,,Kb
7,2,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,,Bálna,,,Franny,,Lemur,Zooey,,Kb
7,2,,,,,Bárány,,Ka,Franny,,Manátusz,,,,Bálna,,Kb,Mongúz,,Lemur,,Zooey,
7,2,,,,,Bárány,,Ka,,Franny,Manátusz,,,,Bálna,,Kb,Mongúz,,Lemur,,Zooey,
7,2,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,,Bálna,,Franny,Kb,,Lemur,,Zooey,
7,2,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,,Bálna,,Franny,Kb,,Lemur,,Zooey,
7,2,,,,,Bárány,,,Mongúz,,Manátusz,,,Ka,Bálna,,Kb,Franny,,Lemur,,Zooey,
7,3,,,,Manátusz,Bálna,,Ka,,Mongúz,,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,,,,Manátusz,,,Ka,Mongúz,,Bálna,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,,,,Manátusz,,,Ka,,Mongúz,Bálna,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,,,,Manátusz,Bárány,,Ka,,Mongúz,,,,Bálna,,Zooey,Kb,Franny,,Lemur,,,
7,3,,,,Manátusz,Bárány,,Ka,,Mongúz,,,,Bálna,,,Kb,Franny,,Zooey,Lemur,,
7,3,,,,Manátusz,Bárány,,Ka,,Franny,,,,Bálna,,,Kb,Mongúz,,Lemur,Zooey,,
7,3,,,,Manátusz,Bárány,,Ka,,Mongúz,,,,Bálna,,,Franny,Kb,,Lemur,Zooey,,
7,3,,,,Manátusz,Bárány,,Ka,,Mongúz,,,,Bálna,,,Kb,Franny,Lemur,,Zooey,,
7,3,,,,Manátusz,Bárány,,Ka,Mongúz,,,,,Bálna,,,Kb,Franny,,Lemur,,Zooey,
7,3,,,,Manátusz,Bárány,,Ka,,Mongúz,,,,,Bálna,,Kb,Franny,,Zooey,Lemur,,
7,3,,,,Manátusz,Bárány,,Ka,,Franny,,,,,Bálna,,Kb,Mongúz,,Lemur,Zooey,,
7,3,,,,Manátusz,Bárány,,Ka,,Mongúz,,,,,Bálna,,Franny,Kb,,Lemur,Zooey,,
7,3,,,,Manátusz,Bárány,,Ka,,Mongúz,,,,,Bálna,,Kb,Franny,Lemur,,Zooey,,
7,3,,,,Manátusz,Bárány,,Ka,Mongúz,,,,,,Bálna,,Kb,Franny,,Lemur,,Zooey,
7,3,,,,Manátusz,,,Ka,,Mongúz,,,,Bárány,Bálna,,Kb,Franny,,Zooey,Lemur,,
7,3,,,,Manátusz,,,Ka,,Franny,,,,Bárány,Bálna,,Kb,Mongúz,,Lemur,Zooey,,
7,3,,,,Manátusz,,,Ka,,Mongúz,,,,Bárány,Bálna,,Franny,Kb,,Lemur,Zooey,,
7,3,,,,Manátusz,,,Ka,,Mongúz,,,,Bárány,Bálna,,Kb,Franny,Lemur,,Zooey,,
7,3,,,,Manátusz,,,Ka,Mongúz,,,,,Bárány,Bálna,,Kb,Franny,,Lemur,,Zooey,
7,3,,,,Manátusz,,,Ka,,Mongúz,,,,Bárány,,Bálna,Kb,Franny,,Lemur,Zooey,,
7,3,Bálna,,,,Bárány,,Ka,Mongúz,,Manátusz,,,,,,Kb,Franny,,Lemur,Zooey,,
7,3,Bálna,,,,Bárány,,Ka,,Mongúz,Manátusz,,,,,,Kb,Franny,,Lemur,Zooey,,
7,3,Bálna,,,,,,Ka,Mongúz,,Manátusz,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,Bálna,,,,,,Ka,,Mongúz,Manátusz,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,,Bálna,,,Bárány,,Ka,Mongúz,,Manátusz,,,,,,Kb,Franny,,Lemur,Zooey,,
7,3,,Bálna,,,Bárány,,Ka,,Mongúz,Manátusz,,,,,,Kb,Franny,,Lemur,Zooey,,
7,3,,Bálna,,,,,Ka,Mongúz,,Manátusz,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,,Bálna,,,,,Ka,,Mongúz,Manátusz,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,,,,Bálna,,,Ka,Mongúz,,Manátusz,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,,,,Bálna,,,Ka,,Mongúz,Manátusz,,,Bárány,,,Kb,Franny,,Lemur,Zooey,,
7,3,,,,,Bálna,,Ka,Mongúz,,Manátusz,,,Bárány,,Zooey,Kb,Franny,,Lemur,,,
7,3,,,,,Bálna,,Ka,,Mongúz,Manátusz,,,Bárány,,Zooey,Kb,Franny,,Lemur,,,
7,3,,,,,Bálna,,Ka,Mongúz,,Manátusz,,,Bárány,,,Kb,Franny,,Zooey,Lemur,,
7,3,,,,,Bálna,,Ka,,Mongúz,Manátusz,,,Bárány,,,Kb,Franny,,Zooey,Lemur,,
7,3,,,,,Bálna,,Ka,Franny,,Manátusz,,,Bárány,,,Kb,Mongúz,,Lemur,Zooey,,
7,3,,,,,Bálna,,Ka,,Franny,Manátusz,,,Bárány,,,Kb,Mongúz,,Lemur,Zooey,,
7,3,,,,,Bálna,,Ka,Mongúz,,Manátusz,,,Bárány,,,Franny,Kb,,Lemur,Zooey,,
7,3,,,,,Bálna,,Ka,,Mongúz,Manátusz,,,Bárány,,,Franny,Kb,,Lemur,Zooey,,
7,3,,,,,Bálna,,Ka,Mongúz,,Manátusz,,,Bárány,,,Kb,Franny,Lemur,,Zooey,,
7,3,,,,,Bálna,,Ka,,Mongúz,Manátusz,,,Bárány,,,Kb,Franny,Lemur,,Zooey,,
7,3,,,,,Bárány,,Ka,Franny,,Manátusz,,,Bálna,,Zooey,Kb,Mongúz,,Lemur,,,
7,3,,,,,Bárány,,Ka,,Franny,Manátusz,,,Bálna,,Zooey,Kb,Mongúz,,Lemur,,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,Zooey,Franny,Kb,,Lemur,,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,Zooey,Franny,Kb,,Lemur,,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,Zooey,Kb,Franny,,,Lemur,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,Zooey,Kb,Franny,,,Lemur,,
7,3,,,,,Bárány,,Ka,Franny,,Manátusz,,,Bálna,,,Kb,Mongúz,,Zooey,Lemur,,
7,3,,,,,Bárány,,Ka,,Franny,Manátusz,,,Bálna,,,Kb,Mongúz,,Zooey,Lemur,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,,Franny,Kb,,Zooey,Lemur,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,,Franny,Kb,,Zooey,Lemur,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,,Franny,Lemur,,Zooey,Kb,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,,Franny,Lemur,,Zooey,Kb,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,Lemur,,Kb,Franny,,Zooey,,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,Lemur,,Kb,Franny,,Zooey,,,
7,3,,,,,Bárány,,Ka,Franny,,Manátusz,,,Bálna,,,Kb,Lemur,Mongúz,,Zooey,,
7,3,,,,,Bárány,,Ka,Franny,Mongúz,Manátusz,,,Bálna,,,Kb,,Lemur,,Zooey,,
7,3,,,,,Bárány,,Ka,Franny,,Manátusz,,,Bálna,,,Kb,Mongúz,Lemur,,Zooey,,
7,3,,,,,Bárány,,Ka,Franny,,Manátusz,,,Bálna,,,Kb,,Mongúz,Lemur,Zooey,,
7,3,,,,,Bárány,,Ka,,Franny,Manátusz,,,Bálna,,,Kb,Lemur,Mongúz,,Zooey,,
7,3,,,,,Bárány,,Ka,Mongúz,Franny,Manátusz,,,Bálna,,,Kb,,Lemur,,Zooey,,
7,3,,,,,Bárány,,Ka,,Franny,Manátusz,,,Bálna,,,Kb,Mongúz,Lemur,,Zooey,,
7,3,,,,,Bárány,,Ka,,Franny,Manátusz,,,Bálna,,,Kb,,Mongúz,Lemur,Zooey,,
7,3,,,,,Bárány,,Ka,Kb,,Manátusz,,,Bálna,,,Franny,Mongúz,,Lemur,Zooey,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,,Franny,Kb,Lemur,,Zooey,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,,Franny,Kb,Lemur,,Zooey,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,,Franny,Lemur,,,Zooey,Kb,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,,Franny,Lemur,,,Zooey,Kb,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,,Franny,,,Lemur,Zooey,Kb,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,,Franny,,,Lemur,Zooey,Kb,
7,3,,,,,Bárány,,Ka,,,Manátusz,,,Bálna,,,Franny,Mongúz,,Lemur,Zooey,Kb,
7,3,,,,,Bárány,,,Mongúz,,Manátusz,,,Bálna,,,Franny,Ka,,Lemur,Zooey,Kb,
7,3,,,,,Bárány,,,,Mongúz,Manátusz,,,Bálna,,,Franny,Ka,,Lemur,Zooey,,Kb
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,Lemur,,Kb,Franny,,,Zooey,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,Lemur,,Kb,Franny,,,Zooey,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,,,Franny,,Lemur,Zooey,Kb,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,,,Franny,,Lemur,Zooey,Kb,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,,Kb,Lemur,Franny,,Zooey,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,,Kb,Lemur,Franny,,Zooey,,
7,3,,,,,Bárány,,Ka,Mongúz,,Manátusz,,,Bálna,,,Kb,,Franny,Lemur,Zooey,,
7,3,,,,,Bárány,,Ka,,Mongúz,Manátusz,,,Bálna,,,Kb,,Franny,Lemur,Zooey,,
7,3,,,,,Bárány,,Ka,Franny,Mongúz,Manátusz,,,Bálna,,,Kb,,,Lemur,,Zooey,
7,3,,,,,Bárány,,,Franny,Mongúz,Manátusz,,,Bálna,,,Kb,Ka,,Lemur,,Zooey,
