Rossz,Szomszedos,Okt. 5--7.,Okt. 19--21.,Őszi szünet,Nov. 16--18.,Nov. 23--25.,Dec. 7--9.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
16,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Kb,Franny,Beluga,Bárány,Ka
16,8,Okapi,,Ka,Mongúz,Zooey,Lemur,Kb,Beluga,Bálna,Bárány,Franny
16,8,Okapi,,Ka,Mongúz,Zooey,Lemur,Kb,Franny,Beluga,Bárány,Bálna
16,8,Okapi,Mongúz,Ka,Bálna,Zooey,Lemur,,Franny,Beluga,Kb,Bárány
16,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Ka,Franny,Beluga,Kb,Bárány
16,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Kb,Franny,Beluga,Ka,Bárány
16,8,Okapi,,Ka,Bálna,Zooey,Lemur,Kb,Mongúz,Beluga,Franny,Bárány
16,8,Okapi,Mongúz,,Ka,Zooey,Lemur,Kb,Bálna,Beluga,Franny,Bárány
16,9,,Mongúz,Ka,Bálna,Zooey,Okapi,Kb,Franny,Beluga,Lemur,Bárány
16,9,,Mongúz,Ka,Lemur,Zooey,Okapi,Kb,Bálna,Beluga,Franny,Bárány
17,8,Bárány,,Ka,Bálna,Zooey,Kb,Okapi,Franny,Beluga,Lemur,Mongúz
17,8,Bárány,Mongúz,Ka,Bálna,Zooey,Okapi,,Franny,Beluga,Kb,Lemur
17,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Ka,Franny,Beluga,Kb,Lemur
17,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Kb,Franny,Beluga,Ka,Lemur
17,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Okapi,Franny,Beluga,Ka,Kb
17,8,Bárány,,Ka,Bálna,Zooey,Okapi,Kb,Mongúz,Beluga,Franny,Lemur
17,8,Bárány,,Ka,Bálna,Zooey,Lemur,Okapi,Kb,Beluga,Franny,Mongúz
17,8,Bárány,Mongúz,Ka,Bálna,Zooey,Lemur,,Okapi,Beluga,Franny,Kb
17,8,Bárány,,Ka,Bálna,Zooey,Lemur,Okapi,Mongúz,Beluga,Franny,Kb
17,8,Bárány,Mongúz,Ka,Bálna,Zooey,Okapi,,Lemur,Beluga,Franny,Kb
17,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Ka,Okapi,Beluga,Franny,Kb
17,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Ka,Lemur,Beluga,Franny,Kb
17,8,Bárány,,Ka,Bálna,Zooey,Okapi,Kb,Beluga,Mongúz,Lemur,Franny
17,8,Bárány,Mongúz,Ka,Bálna,Zooey,Lemur,,Okapi,Beluga,Kb,Franny
17,8,Bárány,,Ka,Bálna,Zooey,Lemur,Okapi,Mongúz,Beluga,Kb,Franny
17,8,Bárány,Mongúz,Ka,Bálna,Zooey,Okapi,,Lemur,Beluga,Kb,Franny
17,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Ka,Okapi,Beluga,Kb,Franny
17,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Ka,Lemur,Beluga,Kb,Franny
17,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Kb,Ka,Beluga,Lemur,Franny
17,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Kb,Beluga,Ka,Lemur,Franny
17,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Kb,Okapi,Beluga,Ka,Franny
17,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Kb,Lemur,Beluga,Ka,Franny
17,8,Bárány,,Ka,Lemur,Zooey,Kb,Okapi,Bálna,Beluga,Franny,Mongúz
17,8,Bárány,Mongúz,,Ka,Zooey,Okapi,Kb,Bálna,Beluga,Franny,Lemur
17,8,Bárány,Mongúz,,Ka,Zooey,Lemur,Okapi,Bálna,Beluga,Franny,Kb
17,8,Bárány,Mongúz,,Kb,Zooey,Lemur,Okapi,Bálna,Beluga,Franny,Ka
17,8,Bárány,,Ka,Kb,Zooey,Lemur,Okapi,Bálna,Beluga,Mongúz,Franny
17,8,Bárány,Mongúz,Ka,Kb,Zooey,Okapi,,Bálna,Beluga,Lemur,Franny
17,8,Bárány,,Ka,Mongúz,Zooey,Kb,Okapi,Bálna,Beluga,Lemur,Franny
17,8,Bárány,Mongúz,,Ka,Zooey,Lemur,Okapi,Bálna,Beluga,Kb,Franny
17,8,Bárány,Mongúz,,Kb,Zooey,Okapi,Ka,Bálna,Beluga,Lemur,Franny
17,8,Bárány,,Ka,Kb,Zooey,Lemur,Okapi,Beluga,Bálna,Franny,Mongúz
17,8,Bárány,Mongúz,Ka,Lemur,Zooey,Okapi,,Beluga,Bálna,Franny,Kb
17,8,Bárány,Mongúz,,Lemur,Zooey,Okapi,Ka,Beluga,Bálna,Franny,Kb
17,8,Bárány,Mongúz,Ka,Lemur,Zooey,Okapi,,Beluga,Bálna,Kb,Franny
17,8,Bárány,Mongúz,,Ka,Zooey,Okapi,Kb,Beluga,Bálna,Lemur,Franny
17,8,Bárány,Mongúz,,Lemur,Zooey,Okapi,Ka,Beluga,Bálna,Kb,Franny
17,8,Bárány,Mongúz,,Lemur,Zooey,Okapi,Kb,Beluga,Bálna,Ka,Franny
17,8,Bárány,Mongúz,Ka,Lemur,Zooey,Okapi,,Franny,Beluga,Kb,Bálna
17,8,Bárány,Mongúz,,Ka,Zooey,Okapi,Kb,Franny,Beluga,Lemur,Bálna
17,8,Bárány,Mongúz,,Lemur,Zooey,Okapi,Ka,Franny,Beluga,Kb,Bálna
17,8,Bárány,Mongúz,,Lemur,Zooey,Okapi,Kb,Franny,Beluga,Ka,Bálna
17,8,Bárány,,Ka,Lemur,Zooey,Okapi,Kb,Mongúz,Beluga,Franny,Bálna
17,8,Okapi,,Ka,Bálna,Zooey,Bárány,Kb,Franny,Beluga,Mongúz,Lemur
17,8,Okapi,Mongúz,Ka,Bálna,Zooey,Bárány,,Franny,Beluga,Lemur,Kb
17,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Ka,Franny,Beluga,Lemur,Kb
17,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Kb,Lemur,Beluga,Franny,Ka
17,8,Okapi,,Ka,Bálna,Zooey,Bárány,Kb,Lemur,Beluga,Mongúz,Franny
17,8,Okapi,,Ka,Bálna,Zooey,Bárány,Kb,Mongúz,Beluga,Lemur,Franny
17,8,Okapi,Mongúz,Ka,Lemur,Zooey,Bárány,,Bálna,Beluga,Franny,Kb
17,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Ka,Bálna,Beluga,Franny,Kb
17,8,Okapi,Mongúz,Ka,Lemur,Zooey,Bárány,,Bálna,Beluga,Kb,Franny
17,8,Okapi,Mongúz,,Ka,Zooey,Bárány,Kb,Bálna,Beluga,Lemur,Franny
