Rossz,Szomszedos,Szep. 25--27.,Okt. 2--4.,Okt. 9--11.,Okt. 16--18.,Oszi szunet,Nov. 6--8.,Nov. 13--15.,Nov. 20--22.,Nov. 27--29.,Dec. 4--6.,Dec. 11--13.,Dec. 18--20.,Jan. 8--10.,Jan. 15--17.,Jan. 22--24.,Jan. 29--31.
1,2,,ZsA,Monguz,,,,Beluga,,Okapi,,B,,Lemur,ZsB,,Hetedikesek
1,2,,,Monguz,,,ZsA,Beluga,,Okapi,,B,,Lemur,ZsB,,Hetedikesek
1,2,,,Monguz,,,ZsA,,Beluga,Okapi,,B,,Lemur,ZsB,,Hetedikesek
1,3,Hetedikesek,Lemur,Monguz,,,,Beluga,,Okapi,,B,,,ZsB,ZsA,
1,3,Hetedikesek,Lemur,,,,,Beluga,,Okapi,,B,,Monguz,ZsB,ZsA,
1,3,Hetedikesek,,Monguz,,,,Lemur,Okapi,,ZsA,B,,,ZsB,Beluga,
1,3,Hetedikesek,,Monguz,,,,Lemur,Beluga,Okapi,,B,,,ZsB,ZsA,
1,3,Hetedikesek,,Monguz,,,,Lemur,,Okapi,ZsA,B,,,ZsB,Beluga,
1,3,Hetedikesek,,Monguz,,,Beluga,,Okapi,Lemur,ZsA,B,,,ZsB,,
1,3,Hetedikesek,,Monguz,,,ZsA,Beluga,Okapi,Lemur,,B,,,ZsB,,
1,3,Hetedikesek,,Monguz,,,,Beluga,Okapi,Lemur,,B,,,ZsA,ZsB,
1,3,Hetedikesek,,Monguz,,,,,Okapi,Lemur,,B,,Beluga,ZsB,ZsA,
1,3,Hetedikesek,,Monguz,,,,,Okapi,Lemur,,B,,,ZsB,Beluga,ZsA
1,3,Hetedikesek,,Monguz,,,,Beluga,,Lemur,ZsA,B,,,Okapi,ZsB,
1,3,Hetedikesek,,,,,Beluga,,Okapi,Lemur,,B,,Monguz,ZsB,ZsA,
1,3,Hetedikesek,,,,,,Beluga,Okapi,Lemur,,B,,Monguz,ZsB,,ZsA
1,3,Hetedikesek,,,,,ZsA,,Okapi,Lemur,,B,,Monguz,ZsB,Beluga,
1,3,Hetedikesek,,Monguz,,,,Beluga,Okapi,,ZsA,B,Lemur,,ZsB,,
1,3,Hetedikesek,,Monguz,,,,Beluga,Okapi,,,B,Lemur,,ZsB,ZsA,
1,3,Hetedikesek,,Monguz,,,,,Okapi,,ZsA,B,Lemur,,ZsB,Beluga,
1,3,Hetedikesek,,Monguz,,,,Beluga,,Okapi,ZsA,B,Lemur,,ZsB,,
1,3,Hetedikesek,,Monguz,,,,,Beluga,Okapi,,B,Lemur,,ZsB,ZsA,
1,3,Hetedikesek,,Monguz,,,ZsA,Beluga,Okapi,,,B,,Lemur,ZsB,,
1,3,Hetedikesek,,Monguz,,,,Beluga,Okapi,ZsA,,B,,Lemur,ZsB,,
1,3,Hetedikesek,,Monguz,,,,Beluga,Okapi,,,B,,Lemur,ZsA,ZsB,
1,3,Hetedikesek,,Monguz,,,,Beluga,Okapi,,ZsA,,,Lemur,ZsB,B,
1,3,Hetedikesek,,Monguz,,,,,Okapi,ZsA,,B,,Lemur,ZsB,Beluga,
1,3,Hetedikesek,,Monguz,,,,,Okapi,,,B,,Lemur,ZsB,Beluga,ZsA
